time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/approx_kl,train/entropy_loss,train/explained_variance,train/n_updates,train/value_loss,train/policy_gradient_loss,train/loss,train/clip_fraction,train/clip_range,train/learning_rate,eval/mean_reward,eval/mean_ep_length
,,,25000,0.0011945373,-0.8002173781394959,0.039036036,120,1.5376405715942383,-0.0014849084196612238,0.7428916096687317,0.0,0.2,0.0003,2.5495249181985855,43.0
25,1056,13,26624,,,,,,,,,,,,
27,1059,14,28672,0.0007595017,-0.7697559058666229,-0.032901525,130,1.556448721885681,-0.001340632839128375,0.7415011525154114,0.0,0.2,0.0003,,
28,1061,15,30720,0.00040540152,-0.7501014113426209,0.011361659,140,1.7430392980575562,-0.0011664324905723334,0.8223568797111511,0.0,0.2,0.0003,,
30,1065,16,32768,0.00030333342,-0.7368320643901825,0.04563713,150,1.6114591002464294,-0.0007759062689729034,0.7697560787200928,0.0,0.2,0.0003,,
32,1068,17,34816,0.00014631366,-0.7282418489456177,0.021130443,160,2.0018972873687746,-0.00026965358993038537,0.9481960535049438,0.0,0.2,0.0003,,
34,1069,18,36864,0.00020001584,-0.7179383516311646,0.08436692,170,1.7472891211509705,-0.0003972930833697319,0.8180791735649109,0.0,0.2,0.0003,,
,,,37500,0.0001691971,-0.7096851587295532,0.03876072,180,1.8629390835762023,-0.00024167856317944825,0.883182942867279,0.0,0.2,0.0003,2.34198097884655,43.0
36,1065,19,38912,,,,,,,,,,,,
38,1068,20,40960,0.0003240999,-0.7027924239635468,0.088183105,190,1.5009590148925782,-0.0003752470714971423,0.715968906879425,0.0,0.2,0.0003,,
40,1070,21,43008,0.00039499803,-0.676050066947937,0.13272786,200,1.4545498847961427,-0.0007050864049233496,0.6566190719604492,0.0,0.2,0.0003,,
42,1071,22,45056,0.0002583862,-0.6597889363765717,0.1805107,210,1.3918060779571533,-0.0005124690476804971,0.6578991413116455,0.0,0.2,0.0003,,
43,1072,23,47104,0.00035200565,-0.6515105843544007,0.16872507,220,1.2629449129104615,-0.0007068718899972737,0.5948436856269836,0.0,0.2,0.0003,,
45,1073,24,49152,0.0004059239,-0.6307625949382782,0.17063522,230,1.7083004713058472,-0.0004699173849076033,0.8063342571258545,0.0,0.2,0.0003,,
,,,50000,0.00027622472,-0.6132767200469971,0.20299679,240,1.5738974332809448,-0.00031471147667616606,0.7508282661437988,0.0,0.2,0.0003,2.34198097884655,43.0
47,1068,25,51200,,,,,,,,,,,,
49,1070,26,53248,0.00061770563,-0.596908700466156,0.21351236,250,1.4375733017921448,-0.0003144778544083238,0.7033936977386475,0.0,0.2,0.0003,,
51,1071,27,55296,0.0019863187,-0.572509902715683,0.19846547,260,1.6653500199317932,-0.0016353278188034892,0.8241171836853027,0.0044921875,0.2,0.0003,,
53,1073,28,57344,0.0044931313,-0.5331558346748352,0.20455986,270,1.6941710472106934,-0.0020447497256100176,0.8408319354057312,0.013427734375,0.2,0.0003,,
55,1073,29,59392,0.0023464889,-0.4970645695924759,0.2274878,280,1.6056371569633483,-0.0006972319562919438,0.7985056042671204,0.00185546875,0.2,0.0003,,
