Date,Close,High,Low,Open,Volume
2025-07-13,119054.75,119463.55,116970.05,116989.95,18732
2025-07-14,120126.25,123225.1,118203.95,119052.45,51842
2025-07-15,116357.75,120288.65,115705.55,120123.95,67432
2025-07-16,119892.75,119919.55,116290.35,116349.85,47053
2025-07-17,119418.25,120046.45,117411.25,119897.95,46107
2025-07-18,117359.25,120927.65,116782.15,119425.75,56194
2025-07-19,117685.85,118467.35,117319.95,117359.05,17599
2025-07-20,118083.25,118832.05,117248.45,117683.05,21527
2025-07-21,116905.75,119620.8,116445.05,118088.55,47717
2025-07-22,119672.95,120172.15,116070.05,116903.35,53655
2025-07-23,117873.85,120206.75,117277.05,119681.15,37953
2025-07-24,118695.05,119460.65,117084.45,117875.15,38158
2025-07-25,117025.45,118766.45,114681.95,118691.55,58332
2025-07-26,117904.05,118255.05,116919.35,117017.65,12333
2025-07-27,118722.15,119519.15,117783.35,117899.35,15382
2025-07-28,118016.15,119769.95,117383.15,118725.75,34898
2025-07-29,117469.95,119254.85,116923.15,118011.15,37323
2025-07-30,117151.35,118769.95,115742.65,117474.65,39163
2025-07-31,116481.45,118884.95,116412.15,117152.5,27674
2025-08-01,113919.85,116869.65,113133.65,116479.05,75489
2025-08-02,112775.85,114069.85,111976.15,113929.65,36528
2025-08-03,114386.75,114754.75,111899.35,112776.45,22417
2025-08-04,114777.75,115685.05,114032.55,114383.25,31101
2025-08-05,113674.35,115320.15,112636.05,114776.75,40905
2025-08-06,115010.05,115678.65,113270.15,113677.65,32426
2025-08-07,117147.65,117486.45,114234.55,115009.55,29974
2025-08-08,116861.85,117600.95,115870.05,117150.55,31181
2025-08-09,116725.65,117893.65,116313.65,116860.4,16964
2025-08-10,118279.05,119068.05,116341.5,116718.85,26518
2025-08-11,118796.35,122259.95,118045.75,118281.35,52555
2025-08-12,120160.65,120287.85,118035.15,118793.35,39995
2025-08-13,122875.25,122949.35,118903.75,120152.55,45516
2025-08-14,117835.35,124464.05,117142.25,122875.95,70083
2025-08-15,117244.75,119202.95,116765.15,117833.05,45402
2025-08-16,117619.35,117865.95,116966.75,117254.15,15221
2025-08-17,117578.15,118551.65,117159.85,117616.35,13743
2025-08-18,116366.35,117975.05,114616.05,117578.25,44860
2025-08-19,113540.95,116947.55,112728.45,116367.45,48705
2025-08-20,114356.75,114422.35,112334.35,113540.0,45959
2025-08-21,112414.55,114788.15,111971.05,114356.2,39012
2025-08-22,117017.85,117381.95,111649.65,112417.85,51077
2025-08-23,115306.25,117142.85,114537.25,117022.85,18985
2025-08-24,112761.95,115655.05,110563.25,115306.25,31206
2025-08-25,109532.45,113669.55,109367.25,112766.4,67452
2025-08-26,111295.75,111346.05,108660.75,109540.65,60764
2025-08-27,112378.75,112596.65,110339.65,111295.75,45471
2025-08-28,111867.25,113439.95,110821.65,112379.25,36714
2025-08-29,107769.95,112611.15,107498.95,111867.25,52877
2025-08-30,108630.55,108901.65,107321.75,107777.35,17853
2025-08-31,109095.55,109459.35,108157.65,108630.55,15070
2025-09-01,108846.95,109875.05,107220.05,109090.65,47037
2025-09-02,111384.85,111745.95,107425.15,108845.95,56314
2025-09-03,112181.45,112556.85,110510.75,111384.85,35788
2025-09-04,110371.85,112225.95,109300.75,112182.95,34006
2025-09-05,111619.35,113353.65,110175.75,110376.7,46395
2025-09-06,110137.65,111678.45,109934.15,111619.95,12686
2025-09-07,111307.15,111382.35,110042.45,110142.8,9794
2025-09-08,111924.45,112907.75,110595.05,111307.15,28015
2025-09-09,111495.15,113247.55,110735.15,111921.35,31879
2025-09-10,113523.35,114274.15,110889.15,111494.05,31757
2025-09-11,114362.05,114696.35,113391.95,113530.15,27121
2025-09-12,116117.25,116635.65,114364.45,114364.45,26939
2025-09-13,115863.85,116311.45,115076.45,116116.15,12192
2025-09-14,115763.35,116137.65,115145.35,115858.75,11467
2025-09-15,115347.85,116719.35,114349.05,115763.35,32332
2025-09-16,116801.85,116879.35,114709.95,115349.45,24133
2025-09-17,115589.45,117241.95,114711.95,116799.1,34889
2025-09-18,117481.85,117881.65,115287.95,115588.05,27678
2025-09-19,115321.05,117482.65,115060.25,117481.15,20953
2025-09-20,115691.05,116094.95,115278.95,115324.05,5990
2025-09-21,115277.85,115909.55,115180.05,115691.05,5947
2025-09-22,112750.15,115519.95,111587.05,115277.35,37343
2025-09-23,111951.45,113261.95,111416.85,112753.65,30474
2025-09-24,113473.75,113917.95,110970.05,111949.85,26381
2025-09-25,109140.05,113621.95,108581.85,113472.9,43522
2025-09-26,109262.85,110275.95,108586.05,109145.55,37393
2025-09-27,109358.95,109712.95,109041.45,109258.55,8712
2025-09-28,110784.35,110922.95,109163.95,109358.95,10965
2025-09-29,114218.55,114384.65,110603.35,110785.45,26256
2025-09-30,114605.75,114742.25,112620.05,114218.15,29448
2025-10-01,117502.95,118157.95,113740.15,114609.05,37055
2025-10-02,120606.95,120994.85,117300.95,117502.95,37370
2025-10-03,122411.45,123869.95,119204.85,120601.85,42030
2025-10-04,121861.35,122765.95,121493.35,122416.25,15654
2025-10-05,122690.95,125750.05,121844.05,121857.55,34601
2025-10-06,125166.25,126163.45,122471.15,122684.75,41284
2025-10-07,121929.75,125248.65,120575.55,125169.95,46982
2025-10-08,122820.55,124164.55,121032.65,121933.55,46573
2025-10-09,121078.45,123732.25,119611.75,122815.25,44381
2025-10-10,114253.85,122506.45,112806.15,121078.45,57994
2025-10-11,110218.65,115094.95,102318.4,114255.15,114362
2025-10-12,114899.15,115435.75,109527.05,110221.65,71977
2025-10-13,115687.75,115945.15,113577.25,114900.25,70453
2025-10-14,112962.95,115801.95,109822.85,115691.25,78906
2025-10-15,111073.35,113586.9,110118.05,112956.75,62882
2025-10-16,107812.55,111958.65,107391.25,111071.65,78381
2025-10-17,106991.45,109207.45,103502.45,107801.85,94366
2025-10-18,106977.25,107415.75,106278.65,106996.85,23040
2025-10-19,108817.35,109419.15,106080.25,106975.35,31788
2025-10-20,111068.05,111687.35,107390.85,108830.65,51007
2025-10-21,110765.95,113999.65,107437.55,111070.25,62895
2025-10-22,107657.35,111091.15,106683.55,110756.95,69132
2025-10-23,109475.25,111283.15,106655.95,107659.25,49385
2025-10-24,110864.05,112129.25,109325.45,109472.25,36400
2025-10-25,111410.25,111928.25,110597.05,110865.65,12560
2025-10-26,113465.35,114004.35,111235.55,111410.25,20353
2025-10-27,114268.05,116369.95,113476.35,113481.25,40853
2025-10-28,112962.35,116069.85,112155.95,114265.0,44429
2025-10-29,111594.45,113606.15,109132.05,112957.85,50569
2025-10-30,107887.05,111599.25,106255.5,111598.95,72793
2025-10-31,109534.55,111122.85,107427.95,107890.05,55402
2025-11-01,109831.65,110534.55,109355.75,109534.55,14337
2025-11-02,109969.15,111206.45,109705.65,109832.45,22356
2025-11-03,106858.65,110731.45,105277.45,109969.15,78822
2025-11-04,100279.65,107264.25,98917.75,106858.65,124613
2025-11-05,103638.35,104517.25,98931.65,100281.05,93698
2025-11-06,101088.05,104174.65,100259.45,103638.35,73842
2025-11-07,103858.95,103877.65,99227.05,101088.05,83785
2025-11-08,102249.75,104053.75,101428.45,103860.95,34338
2025-11-09,104505.55,105042.35,101393.45,102249.75,37001
2025-11-10,105594.25,106637.85,104075.4,104507.55,55673
2025-11-11,102615.45,107494.55,102458.85,105585.45,57713
2025-11-12,101895.75,105307.55,100772.95,102612.75,58618
2025-11-13,98777.55,104029.65,97970.05,101892.45,87787
2025-11-14,95027.75,100477.05,94170.95,98776.65,127577
2025-11-15,95248.75,96795.25,93980.05,95027.75,50144
2025-11-16,93471.05,96599.85,93329.05,95248.75,54614
2025-11-17,91927.45,96030.9,91270.05,93482.95,98954
2025-11-18,92459.35,93807.55,89270.05,91930.65,108235
2025-11-19,90573.35,93393.95,88578.55,92459.35,89347
2025-11-20,87262.35,93138.15,86070.05,90570.75,99262
2025-11-21,85151.45,88233.55,80615.55,87259.85,176983
2025-11-22,84377.05,85587.75,83471.65,85151.45,60190
2025-11-23,87961.85,87965.95,84246.35,84381.85,54575
2025-11-24,88720.45,89206.75,85238.05,87956.15,88963
2025-11-25,87003.65,89062.15,86081.45,88719.55,60093
